now,num,alpha_deg,Theta,K,K_file,g,omega,theta_0,surface_temp,gamma,dt,output_path,Completed
,260,1.2,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v3,
,260,2.0,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v3,
,260,5.0,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v3,
,260,10.0,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v3,
,260,20.0,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00402,0.1,output/results_v3,
,260,0.24,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00241,0.1,output/results_v3_gamma=2.41,
,260,0.64,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00241,0.1,output/results_v3_gamma=2.41,
,260,0.64,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00241,0.1,output/results_v3_gamma=2.41,0
,260,0.65,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00241,0.1,output/results_v3_gamma=2.41,
,260,0.65,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00241,0.1,output/results_v3_gamma=2.41,0
,260,0.63,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00241,0.1,output/results_v3_gamma=2.41,
,260,0.63,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00241,0.1,output/results_v3_gamma=2.41,0
,260,0.637,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00241,0.1,output/results_v3_gamma=2.41,
,260,0.637,100.0,,K/K_261.nc,3.72,7.079645416540379e-05,210.0,surface_forcing/test_surface_forcing.nc,0.00241,0.1,output/results_v3_gamma=2.41,0
